srr_id,biosamplemodel,collection_date,depth,elev,ena_first_public,ena_last_update,env_broad_scale,env_local_scale,env_medium,geo_loc_name,host,host_disease,insdc_secondary_accession,isolation_source,lat_lon,ncbi_submission_package,organism,sample_type,soil_type,agrochem_addition,al_sat,al_sat_meth,altitude,annual_precpt,annual_temp,collection_method,cur_vegetation_meth,extreme_event,authors,participating_institutes,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id
SRR12376372,MIMS.me | MIGS/MIMS/MIMARKS.soil,2017-11-10,30cm,268m MSL,2020-08-03,2021-02-28,Semi Arid Zone,Agricultural field,Soil,"India: Alwar, Rajasthan",,,SRS7135793,cotton rhizosphere,27.53 N 76.16 E,MIMS.me.soil.5.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR13342225,Metagenome or environmental,2019-09-22,,,2021-01-02,2021-02-28,,,,India,,,SRS7956686,soil,20.5937 N 78.9629 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR13396075,Metagenome or environmental,2019-09-22,,,2021-01-10,2021-02-28,,,,India,,,SRS7998943,soil,20.5937 N 78.9629 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR13396103,Metagenome or environmental,2019-09-22,,,2021-01-10,2021-02-28,,,,India,,,SRS7998969,soil,20.5937 N 78.9629 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR1825760,Metagenome or environmental,2014-09-17,,,2015-03-03,2015-03-04,,,,"India:Odisha, Paradip",,,SRS862591,Soil sediment,20.32 N 86.62 E,Metagenome.environmental.1.0,sediment metagenome,,,,,,,,,,,,,,,,,,
SRR23183348,Metagenome or environmental,2020-12-23,,,2023-01-22,2023-01-22,,,,India,,,SRS16545332,soil,20.5937 N 78.9629 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR23183349,Metagenome or environmental,2020-12-23,,,2023-01-22,2023-01-22,,,,India,,,SRS16545333,soil,20.5937 N 78.9629 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR23183368,Metagenome or environmental,2020-12-23,,,2023-01-22,2023-01-22,,,,India,,,SRS16545352,soil,20.5937 N 78.9629 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR26201959,MIMS.me | MIGS/MIMS/MIMARKS.soil,2020-12-23,soil surface,surface,2023-09-28,2023-09-28,agricultural biome 3,agricultural,soil,India,,,SRS18998442,,23.8242 N 87.4542 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR26201960,MIMS.me | MIGS/MIMS/MIMARKS.soil,2020-12-23,soil surface,surface,2023-09-28,2023-09-28,agricultural biome 2,agricultural,soil,India,,,SRS18998441,,23.8242 N 87.4542 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR26201961,MIMS.me | MIGS/MIMS/MIMARKS.soil,2020-12-23,soil surface,surface,2023-09-28,2023-09-28,agricultural biome 1,agricultural,soil,India,,,SRS18998440,,23.8242 N 87.4542 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33853917,MIMS.me | MIGS/MIMS/MIMARKS.soil,2024-05-17,Surface,441,2025-08-20,2025-08-20,Soil collected from garden containing grass,soil as control sample,ENVO:00010483,India: Jaipur,,,SRS25286994,,27.17797 N 75.9605 E,MIMS.me.soil.6.0,soil metagenome,,,Sandy soil,NA,NA,431m,625milimeter or 25 inch,24 C,Spatula,Herbs/Shrubs,hot Days,,,,,,,
SRR33963317,MIMS.me | MIGS/MIMS/MIMARKS.soil,2022-12-04,10 cm,3 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Thiruvarur,,,SRS25363423,,10.7730 N 79.6370 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963318,MIMS.me | MIGS/MIMS/MIMARKS.soil,2022-12-04,10 cm from the topsoil,3 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Thiruvarur,,,SRS25363422,,10.7730 N 79.6370 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963319,MIMS.me | MIGS/MIMS/MIMARKS.soil,2023-03-08,10 cm,3 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Thiruvarur,,,SRS25363421,,10.7730 N 79.6370 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963320,MIMS.me | MIGS/MIMS/MIMARKS.soil,2023-03-08,10 cm from the topsoil,3 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Thiruvarur,,,SRS25363420,,10.7730 N 79.6370 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963321,MIMS.me | MIGS/MIMS/MIMARKS.soil,2023-10-11,10 cm from the topsoil,87 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Neyveli,,,SRS25363419,,11.5943 N 79.4571 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963322,MIMS.me | MIGS/MIMS/MIMARKS.soil,2023-10-10,10 cm,87 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Neyveli,,,SRS25363418,,11.5943 N 79.4571 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963323,MIMS.me | MIGS/MIMS/MIMARKS.soil,2023-01-18,10 cm from the topsoil,218 m,2025-10-10,2025-10-10,Soil,Soil,Soil,India: Namakkal,,,SRS25363417,,11.3810 N 78.1658 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR33963324,MIMS.me | MIGS/MIMS/MIMARKS.soil,2023-09-29,10 cm from the topsoil,183 m,2025-10-10,2025-10-10,Soil,Soil,soil,India: Erode,,,SRS25363416,,11.4975 N 77.1573 E,MIMS.me.soil.6.0,metagenome,,,,,,,,,,,,,,,,,,
SRR5365029,Metagenome or environmental,2016-12-29,,,2017-03-27,2021-02-28,,,,India: West Bengal,,,SRS2062634,Indian Sunderbans,22.98 N 87.85 E,Metagenome.environmental.1.0,rhizosphere metagenome,,,,,,,,,,,,"Abhisek R Bera, Vineet Vishal, Pankaj Singh, Sabdar Rahaman and Sayak Ganguli","Bangabasi Evening College, The Biome and AIIST, PALTA",anaerobe,Standard Protocol,Cool Pack,10 gram,Sample A
SRR8468865,Metagenome or environmental,2018-01-19,,,2019-11-08,2021-02-28,,,,"India: Ghazipur, Uttar Pradesh",,,SRS4275454,Wheat Rhizosphere,25.913824 N 83.529715 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR9093167,Metagenome or environmental,2015-10-15,,,2020-03-01,2021-02-28,,,,India,,,SRS4791340,soil,34.49 N 75.49 E,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
SRR9830591,Metagenome or environmental,2017-08-07/2018-01-29,,,2020-07-26,2021-02-28,,,,India,NOT APPLICABLE,,SRS5152733,MAPS SOIL,NOT APPLICABLE,Metagenome.environmental.1.0,soil metagenome,,,,,,,,,,,,,,,,,,
