sample,P|Proteobacteria,P|Actinobacteria,P|Firmicutes,P|Deinococcus-Thermus,P|Cyanobacteria,P|Chloroflexi,P|Armatimonadetes,P|Tenericutes,P|Coprothermobacterota,P|Gemmatimonadetes,P|Bacteroidetes,P|Chlorobi,P|Ignavibacteriae,P|Fibrobacteres,P|Candidatus Cloacimonetes,P|Planctomycetes,P|Verrucomicrobia,P|Kiritimatiellaeota,P|Lentisphaerae,P|Chlamydiae,P|Acidobacteria,P|Nitrospirae,P|Spirochaetes,P|Synergistetes,P|Aquificae,P|Thermotogae,P|Candidatus Saccharibacteria,P|Candidatus Gracilibacteria,P|Fusobacteria,P|Calditrichaeota,P|Elusimicrobia,P|Caldiserica,P|Dictyoglomi,P|Thermodesulfobacteria,P|Chrysiogenetes,P|Deferribacteres,P|Chordata,P|Euryarchaeota,P|Thaumarchaeota,P|Crenarchaeota,P|Candidatus Korarchaeota,P|Candidatus Micrarchaeota
SRR12376372,3.01,1.1,0.1,0.02,0.01,0.01,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.0,0.0,0.0,0.0
SRR13342225,10.85,51.19,8.39,0.04,0.21,2.03,0.02,0.02,0.17,0.51,0.16,0.01,0.0,0.0,0.0,0.04,0.01,0.0,0.02,0.0,0.83,0.24,0.0,0.01,0.05,0.02,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,0.04,0.13,0.0,0.0,0.0,0.0,0.0
SRR13396075,60.48,0.08,2.72,0.0,0.04,0.01,0.0,0.01,0.0,0.0,36.07,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
SRR13396103,10.66,51.1,8.53,0.05,0.22,2.04,0.02,0.02,0.18,0.48,0.16,0.01,0.0,0.0,0.0,0.04,0.01,0.0,0.02,0.0,0.83,0.23,0.0,0.01,0.05,0.02,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,0.04,0.11,0.0,0.0,0.0,0.0,0.0
SRR1825760,42.03,5.75,10.63,0.48,1.9,2.61,0.51,0.3,0.02,0.4,14.3,0.02,1.95,0.0,0.0,1.28,0.43,0.0,0.1,0.02,3.7,0.12,2.65,0.09,0.05,0.09,0.15,0.0,0.01,0.01,0.05,0.0,0.03,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
SRR23183348,39.55,10.89,11.74,0.64,0.95,3.6,0.09,0.3,0.01,0.82,4.23,0.05,0.06,0.01,0.0,6.42,2.52,0.02,0.01,0.46,5.53,1.08,0.17,0.06,0.06,0.14,0.42,0.02,0.01,0.0,0.34,0.0,0.05,0.02,0.01,0.38,0.01,0.07,0.11,0.0,0.0,0.0
SRR23183349,38.78,11.99,12.07,0.58,2.65,3.31,0.13,0.2,0.01,0.85,5.27,0.04,0.06,0.01,0.0,5.74,2.51,0.02,0.02,0.28,5.0,0.87,0.12,0.03,0.08,0.11,0.68,0.01,0.01,0.0,0.25,0.0,0.06,0.01,0.0,0.26,0.02,0.13,0.04,0.0,0.0,0.0
SRR23183368,38.59,16.11,9.1,0.81,0.72,3.49,0.09,0.17,0.01,0.88,3.03,0.04,0.04,0.03,0.0,8.71,1.8,0.01,0.02,0.69,5.32,0.73,0.25,0.03,0.1,0.12,0.53,0.01,0.01,0.01,0.27,0.0,0.05,0.01,0.0,0.18,0.01,0.03,0.04,0.0,0.0,0.0
SRR26201959,16.84,4.78,7.63,2.5,1.34,2.52,0.08,1.15,0.0,0.37,3.1,0.02,0.0,0.01,0.0,30.67,6.1,0.03,0.02,0.86,4.32,0.28,0.1,0.02,0.02,0.11,1.72,0.16,0.0,0.0,0.12,0.0,0.02,0.01,0.0,0.07,0.24,0.0,0.0,0.0,0.0,0.0
SRR26201960,16.88,4.82,7.24,1.29,0.74,2.43,0.08,0.49,0.0,0.24,3.9,0.01,0.02,0.02,0.0,39.29,7.05,0.2,0.03,1.18,2.91,0.15,0.08,0.01,0.01,0.09,1.35,0.03,0.0,0.0,0.09,0.0,0.04,0.01,0.0,0.09,0.52,0.0,0.0,0.0,0.0,0.0
SRR26201961,16.88,4.78,7.64,2.48,1.35,2.52,0.08,1.16,0.0,0.35,3.08,0.03,0.0,0.01,0.0,30.62,6.09,0.03,0.02,0.87,4.33,0.28,0.1,0.02,0.02,0.12,1.73,0.16,0.0,0.0,0.12,0.0,0.02,0.01,0.0,0.07,0.24,0.0,0.0,0.0,0.0,0.0
SRR33853917,3.18,3.16,0.18,0.03,0.03,0.02,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.03,0.08,0.0,0.0,0.0
SRR33963317,3.9,2.9,0.1,0.03,0.03,0.02,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0
SRR33963318,3.69,5.9,0.31,0.05,0.03,0.04,0.0,0.0,0.0,0.03,0.11,0.01,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.0,0.0
SRR33963319,4.55,4.45,0.19,0.04,0.03,0.05,0.0,0.0,0.0,0.03,0.08,0.01,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.0,0.0,0.0,0.0
SRR33963320,4.68,3.22,0.18,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.09,0.01,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.0,0.0,0.0,0.0
SRR33963321,3.71,5.19,0.53,0.04,0.02,0.02,0.0,0.0,0.0,0.01,0.15,0.01,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.01,0.0,0.0,0.0
SRR33963322,3.67,3.81,0.26,0.03,0.03,0.03,0.0,0.0,0.0,0.04,0.07,0.01,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.05,0.01,0.0,0.0,0.0
SRR33963323,3.49,3.32,0.1,0.03,0.05,0.03,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.03,0.01,0.0,0.0,0.0
SRR33963324,3.84,4.13,0.44,0.04,0.03,0.04,0.0,0.0,0.0,0.05,0.13,0.01,0.0,0.0,0.0,0.1,0.03,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.08,0.01,0.0,0.0,0.0
SRR5365029,38.09,6.39,7.96,0.21,1.46,5.68,0.36,0.18,0.01,0.87,4.06,0.02,0.18,0.01,0.0,7.38,4.49,0.04,0.07,0.2,8.22,1.02,0.54,0.1,0.05,0.04,0.13,0.01,0.06,0.01,0.23,0.0,0.04,0.09,0.0,0.05,0.02,0.24,0.0,0.0,0.0,0.0
SRR8468865,33.85,1.6,5.51,0.1,0.64,0.5,0.02,0.12,0.0,0.18,1.7,0.09,0.02,0.02,0.0,0.04,0.08,0.0,0.0,0.03,3.37,0.15,0.17,0.05,0.05,0.07,0.01,0.0,0.02,0.01,0.03,0.01,0.05,0.04,0.03,0.03,0.23,0.03,0.0,0.0,0.0,0.0
SRR9093167,3.02,0.59,0.05,0.01,0.02,0.01,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.0,0.0,0.0,0.0
SRR9830591,6.4,3.27,0.1,0.04,0.03,0.02,0.0,0.0,0.0,0.08,0.09,0.01,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.0,0.0,0.0,0.0
