srr_id,expected_or_detected,local_raw_presence,local_processed_presence,metadata_presence,status,remote_run_metadata_available,remote_sample_metadata_available,remote_fastq_available,remote_fastq_total_bytes,sample_accession,secondary_sample_accession,study_accession,experiment_accession,library_layout,library_source,scientific_name,recovery_attempt_status,recovered_now,still_missing,blocked,blocked_reason,evidence_source,local_raw_paths,local_processed_paths,notes
SRR12376372,expected,present,present,absent,processed_no_metadata,True,True,True,3212511324,SAMN15693165,SRS7135793,PRJNA650132,SRX8875092,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;dataset_audit_report.md;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;scripts/audit_srrs.py;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv,raw_data/recovered_fastq/SRR12376372_1.fastq.gz;raw_data/recovered_fastq/SRR12376372_2.fastq.gz,kraken_out/SRR12376372.report;kraken_out/SRR12376372.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR13342225,expected,present,present,present,processed_with_metadata,True,True,True,68319394,SAMN17201847,SRS7956686,PRJNA689214,SRX9768638,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR13342225_1.fastq.gz,kraken_out/SRR13342225.report;kraken_out/SRR13342225.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR13396075,expected,present,present,present,processed_with_metadata,True,True,True,37275935,SAMN17271210,SRS7998943,PRJNA689214,SRX9815210,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR13396075_1.fastq.gz;raw_data/recovered_fastq/SRR13396075_2.fastq.gz,kraken_out/SRR13396075.report;kraken_out/SRR13396075.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR13396103,expected,present,present,present,processed_with_metadata,True,True,True,68667967,SAMN17271293,SRS7998969,PRJNA689214,SRX9815238,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR13396103_1.fastq.gz,kraken_out/SRR13396103.report;kraken_out/SRR13396103.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR1825760,expected,present,present,present,processed_with_metadata,True,True,True,10956806,SAMN03382613,SRS862591,PRJNA266108,SRX897055,SINGLE,METAGENOMIC,sediment metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR1825760_1.fastq.gz,kraken_out/SRR1825760.report;kraken_out/SRR1825760.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR23183348,expected,present,present,present,processed_with_metadata,True,True,True,28587335,SAMN32860474,SRS16545332,PRJNA689214,SRX19133762,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR23183348_1.fastq.gz;raw_data/recovered_fastq/SRR23183348_2.fastq.gz,kraken_out/SRR23183348.report;kraken_out/SRR23183348.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR23183349,expected,present,present,present,processed_with_metadata,True,True,True,16602254,SAMN32860475,SRS16545333,PRJNA689214,SRX19133763,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR23183349_1.fastq.gz;raw_data/recovered_fastq/SRR23183349_2.fastq.gz,kraken_out/SRR23183349.report;kraken_out/SRR23183349.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR23183368,expected,present,present,present,processed_with_metadata,True,True,True,19337218,SAMN32860476,SRS16545352,PRJNA689214,SRX19133782,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR23183368_1.fastq.gz;raw_data/recovered_fastq/SRR23183368_2.fastq.gz,kraken_out/SRR23183368.report;kraken_out/SRR23183368.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR26201959,expected,present,present,present,processed_with_metadata,True,True,True,95008973,SAMN37571899,SRS18998442,PRJNA689214,SRX21913275,SINGLE,METAGENOMIC,metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR26201959_1.fastq.gz;raw_data/recovered_fastq/SRR26201959_2.fastq.gz,kraken_out/SRR26201959.report;kraken_out/SRR26201959.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR26201960,expected,present,present,present,processed_with_metadata,True,True,True,99141822,SAMN37571898,SRS18998441,PRJNA689214,SRX21913274,SINGLE,METAGENOMIC,metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR26201960_1.fastq.gz;raw_data/recovered_fastq/SRR26201960_2.fastq.gz,kraken_out/SRR26201960.report;kraken_out/SRR26201960.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR26201961,expected,present,present,present,processed_with_metadata,True,True,True,181000680,SAMN37571897,SRS18998440,PRJNA689214,SRX21913273,SINGLE,METAGENOMIC,metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR26201961_1.fastq.gz;raw_data/recovered_fastq/SRR26201961_2.fastq.gz,kraken_out/SRR26201961.report;kraken_out/SRR26201961.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33853917,expected,present,present,absent,processed_no_metadata,True,True,True,2802188694,SAMN48884674,SRS25286994,PRJNA1271714,SRX29073802,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;dataset_audit_report.md;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;scripts/audit_srrs.py;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=taxonomy_kraken2_minikraken (1).csv,raw_data/recovered_fastq/SRR33853917_1.fastq.gz;raw_data/recovered_fastq/SRR33853917_2.fastq.gz,kraken_out/SRR33853917.report;kraken_out/SRR33853917.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963317,expected,present,present,absent,processed_no_metadata,True,True,True,10056036278,SAMN49039023,SRS25363423,PRJNA1276251,SRX29162121,PAIRED,GENOMIC,metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;dataset_audit_report.md;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;scripts/audit_srrs.py;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=taxonomy_kraken2_minikraken (1).csv,raw_data/recovered_fastq/SRR33963317_1.fastq.gz;raw_data/recovered_fastq/SRR33963317_2.fastq.gz,kraken_out/SRR33963317.report;kraken_out/SRR33963317.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963318,expected,present,present,absent,processed_no_metadata,True,True,True,8134861099,SAMN49039022,SRS25363422,PRJNA1276251,SRX29162120,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963318_1.fastq.gz;raw_data/recovered_fastq/SRR33963318_2.fastq.gz,kraken_out/SRR33963318.report;kraken_out/SRR33963318.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963319,expected,present,present,absent,processed_no_metadata,True,True,True,2555573023,SAMN49039021,SRS25363421,PRJNA1276251,SRX29162119,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963319_1.fastq.gz;raw_data/recovered_fastq/SRR33963319_2.fastq.gz,kraken_out/SRR33963319.report;kraken_out/SRR33963319.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963320,expected,present,present,absent,processed_no_metadata,True,True,True,2283146198,SAMN49039020,SRS25363420,PRJNA1276251,SRX29162118,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963320_1.fastq.gz;raw_data/recovered_fastq/SRR33963320_2.fastq.gz,kraken_out/SRR33963320.report;kraken_out/SRR33963320.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963321,expected,present,present,absent,processed_no_metadata,True,True,True,3249735619,SAMN49039019,SRS25363419,PRJNA1276251,SRX29162117,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963321_1.fastq.gz;raw_data/recovered_fastq/SRR33963321_2.fastq.gz,kraken_out/SRR33963321.report;kraken_out/SRR33963321.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963322,expected,present,present,absent,processed_no_metadata,True,True,True,1847303856,SAMN49039018,SRS25363418,PRJNA1276251,SRX29162116,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963322_1.fastq.gz;raw_data/recovered_fastq/SRR33963322_2.fastq.gz,kraken_out/SRR33963322.report;kraken_out/SRR33963322.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963323,expected,present,present,absent,processed_no_metadata,True,True,True,1401416169,SAMN49039017,SRS25363417,PRJNA1276251,SRX29162115,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963323_1.fastq.gz;raw_data/recovered_fastq/SRR33963323_2.fastq.gz,kraken_out/SRR33963323.report;kraken_out/SRR33963323.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR33963324,expected,present,present,absent,processed_no_metadata,True,True,True,1851698471,SAMN49039016,SRS25363416,PRJNA1276251,SRX29162114,PAIRED,GENOMIC,metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR33963324_1.fastq.gz;raw_data/recovered_fastq/SRR33963324_2.fastq.gz,kraken_out/SRR33963324.report;kraken_out/SRR33963324.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR5365029,expected,present,present,absent,processed_no_metadata,True,True,True,299219789,SAMN06606462,SRS2062634,PRJNA379362,SRX2660456,PAIRED,METAGENOMIC,rhizosphere metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR5365029_1.fastq.gz;raw_data/recovered_fastq/SRR5365029_2.fastq.gz,kraken_out/SRR5365029.report;kraken_out/SRR5365029.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR8468865,expected,present,present,absent,processed_no_metadata,True,True,True,37858517,SAMN10786231,SRS4275454,PRJNA516299,SRX5275271,SINGLE,METAGENOMIC,soil metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR8468865_1.fastq.gz,kraken_out/SRR8468865.report;kraken_out/SRR8468865.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR9093167,expected,present,present,absent,processed_no_metadata,True,True,True,6027969508,SAMN11772500,SRS4791340,PRJNA543600,SRX5868222,PAIRED,METAGENOMIC,soil metagenome,skipped_already_complete,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR9093167_1.fastq.gz;raw_data/recovered_fastq/SRR9093167_2.fastq.gz,kraken_out/SRR9093167.report;kraken_out/SRR9093167.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR9830591,expected,present,present,absent,processed_no_metadata,True,True,True,3445307144,SAMN12139125,SRS5152733,PRJNA551105,SRX6587040,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;outputs/extraction_manifest.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;srr_audit_report.csv,raw_data/recovered_fastq/SRR9830591_1.fastq.gz;raw_data/recovered_fastq/SRR9830591_2.fastq.gz,kraken_out/SRR9830591.report;kraken_out/SRR9830591.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
